example,label
잘가,그만
bye,그만
상담 종료,그만
끝,그만
잘자요,그만
또봐,그만
빠염,그만
안녕히 계십시오,그만
그만 대화하자,그만
잘있어,그만
또 보자,그만
나중에 다시 하자,그만
담에 만나,그만
담에 보자,그만
갈께 즐거웠어,그만
닫기,그만
바이바이,그만
안녕히 계세요,그만
굳바이,그만
그만할게,그만
상담 그만할래요,그만
상담 마칩니다,그만
대화 그만하자,그만
상담 끝이야,그만
그만하자,그만
굿바이,그만
갈게,그만
왜 안꺼져,그만
잘자,그만
잘 자,그만
대화 끝,그만
대화 끝이야,그만
see you again,그만
종료,그만
Good by,그만
아이고,실망및질책
바보같아,실망및질책
업그레이드가 필요한것 같네요 별도움이 안되네,실망및질책
앙망이네요,실망및질책
장난하냐,실망및질책
푸디는 언제쯤 똑똑해질까,실망및질책
야 한대 맞을래?,실망및질책
너 어이없어,실망및질책
저런,실망및질책
짱나요,실망및질책
아니네... 멍충이네,실망및질책
계속성장해야 될듯.... 답변이 안되네요,실망및질책
어휴 별로네,실망및질책
고객우롱,실망및질책
회사는  동원 인데 시스템은 동악 이구려ㅠㅜ,실망및질책
별로야,실망및질책
푸디야 한대 맞을래?,실망및질책
한심하다,실망및질책
때려쳐라,실망및질책
모야이거 말귀도 못알아듣고,실망및질책
구리네,실망및질책
후졌어,실망및질책
음 진짜 이럴꺼야,실망및질책
너 바보지,실망및질책
엉뚱한 소릴하고 자빠졌네,실망및질책
뭔소리하냐,실망및질책
멍청이네 이거,실망및질책
고객 우롱하나요,실망및질책
실망이야,실망및질책
너때매 화가난다구,실망및질책
이해도 못하면서 뭘도와주냐,실망및질책
엉망인데요 ,실망및질책
님들의 이런  구조적 문제를  개선 안하면서 매출및  고객 증대를  기대한다면 그것은  죄악 입니다.,실망및질책
상담안하겟단거네,실망및질책
쯔쯔,실망및질책
휴,실망및질책
멍청한데,실망및질책
헛소리하네,실망및질책
인공지능 상담원 수준이 상당히 떨어지는군요,실망및질책
이건 왜 만든거냐,실망및질책
너 답정너지?,실망및질책
바보네,실망및질책
비싸다구,실망및질책
바보니까 바보라고 하지 어휴,실망및질책
불쌍하다...,실망및질책
때려치워,실망및질책
답변을 제대로 못하네,실망및질책
쓰레기 기능이네,실망및질책
아오 진짜,실망및질책
헛소리나 하고,실망및질책
한심하네,실망및질책
실망입니다,실망및질책
하...노노링 쇼가나이쇼가나이,실망및질책
엉뚱한 답이잖아,실망및질책
사기지,실망및질책
멍청하니까 멍청하다고 하지,실망및질책
뭔소리여,실망및질책
1:1고객 상담 답변이 너무 느립니다,실망및질책
앗 이것도 몰라?,실망및질책
뭔소리야,실망및질책
때려치워라,실망및질책
엉뚱한 답인데?,실망및질책
이렇게 답도 못하는 푸디님 실망이네요,실망및질책
아이참,실망및질책
좀 되라,실망및질책
이런 엉터리 챗봇은 포기하셈,실망및질책
바보네 이거,실망및질책
업무 잘 하니?,일은잘하니
일은 잘 하냐고,일은잘하니
일 잘 한다고 생각해?,일은잘하니
일 잘해여?,일은잘하니
일하기 어렵지 않아요?,일은잘하니
그래서 일은 잘하나요?,일은잘하니
일 잘하니?,일은잘하니
일은 잘하냐,일은잘하니
일 잘하고 있니?,일은잘하니
일 잘하냐,일은잘하니
ㅋ,웃음
^^,웃음
ㅋㅋㅋ,웃음
😘,웃음
헤헤헤헤,웃음
ㅋㅋ,웃음
ㅎㅎ,웃음
너 웃기다,웃음
이히히히히,웃음
흐흐,웃음
ㅋㅋㅋㅋ,웃음
호호호호호,웃음
^_^,웃음
ㅋㅋㅋㅋㅋ,웃음
ㅎㅎㅎㅎ,웃음
미안해,사과
쏘리,사과
미안해 농담해봤어,사과
미안해요,사과
미안합니다,사과
미안해 푸디야,사과
미안요,사과
죄송해요,사과
쏘리쏘리,사과
너 쫌 귀여운데,감사
너 귀엽다,감사
동원몰 좋아,감사
고생한다,감사
착하다,감사
화이팅!,감사
푸디 친절하네!,감사
제법이네,감사
착하네,감사
너 제법이구나,감사
멋지다,감사
네 감사합니다.,감사
you are the best!,감사
떙큐,감사
이놈이 잘하네,감사
열심히 공부하렴,감사
편리하네,감사
감사해요,감사
고생했어 푸디야,감사
공부해,감사
그뤠잇,감사
잘했다,감사
굿굿,감사
니가 최고야!,감사
똑똑한데?,감사
귀여워,감사
열심히 해!,감사
응 넌 할 수 있어,감사
너 제법이다,감사
고생했어,감사
최고야,감사
고마워 푸디!,감사
수고했어요,감사
멋진데?,감사
ㄳㄳ,감사
똑똑하다,감사
화이팅~,감사
똑똑해라,감사
오우 똑똑해,감사
이름 귀엽당ㅋㅋ,감사
푸디가 최고야,감사
고마워!,감사
푸디야 화이팅,감사
짱,감사
엄청 늘었는데?,감사
푸디 너 답변 정말 잘한다,감사
와우 넌 정말 똑똑한데?,감사
푸디 너 정말 멋지다,감사
굳잡!,감사
땡큐,감사
고마워 푸디~,감사
아냐 잘하고 있어,감사
고생했어요,감사
잘한다,감사
열심히공부해,감사
발전하렴,감사
푸디 너 완전 똑똑해요,감사
good job,감사
잘했어,감사
굿,감사
너 제법인걸?,감사
발전해라,감사
고맙습니다,감사
수고해,감사
똑똑하다구요,감사
감사합니다,감사
그래 푸디야 고생한다,감사
최고,감사
좋은하루되세요,감사
화이팅,감사
자세가 좋다,감사
최곤데?,감사
흥해라,감사
동원몰 좋아요,감사
잘했어요~,감사
굿~~~,감사
너 말 잘한다,감사
열심히해,감사
열심히 배워라,감사
잘 만들었당,감사
수고했어 푸디,감사
푸디가 제일이야,감사
ㄳ,감사
난 우울한데,고객기분나쁨
기분이 안좋아요,고객기분나쁨
기분 나빠,고객기분나쁨
기분이 안좋아,고객기분나쁨
기분이 별로야,고객기분나쁨
기분이 안좋은데,고객기분나쁨
우울하다구,고객기분나쁨
울적해,고객기분나쁨
나 화났어,고객기분나쁨
기분이 꿀꿀해요,고객기분나쁨
나 오늘 기분이 나빠,고객기분나쁨
슬퍼,고객기분나쁨
나 오늘 슬퍼,고객기분나쁨
나 슬퍼,고객기분나쁨
기분이 별론데,고객기분나쁨
화가 나,고객기분나쁨
나 오늘 화가 나,고객기분나쁨
눈물날 것 같아요,고객기분나쁨
눈물이 나,고객기분나쁨
나 오늘 울적해,고객기분나쁨
행복하다,고객기분좋음
신난다,고객기분좋음
기분이 좋네요,고객기분좋음
오늘 기분이 좋은데,고객기분좋음
